transicion,CLC,deltatm,idQ,accion
0,-9999,0,1,1
1,-9999,0,1,1
2,-9999,0,1,1
3,-9999,0,1,1
4,-9999,0,1,1
5,-9999,0,1,1
6,-9999,0,1,1
7,-9999,0,1,1
8,-9999,0,1,1
9,-9999,0,1,1
10,-9999,0,1,1
11,-9999,0,1,1
12,-9999,0,1,1
13,-9999,0,1,1
14,-9999,0,1,1
15,-9999,0,1,1
16,-9999,0,1,1
17,-9999,0,1,1
18,-9999,0,1,1
19,-9999,0,1,1
20,-9999,0,1,1
21,-9999,0,1,1
22,-9999,0,1,1
23,-9999,0,1,1
24,-9999,0,1,1
25,-9999,0,1,1
26,-9999,0,1,1
27,-9999,0,1,1
28,-9999,0,1,1
29,-9999,0,1,1
30,-9999,0,1,1
31,-9999,0,1,1
32,-9999,0,1,1
33,-9999,0,1,1
